"Order Type","Friend's ID(Spot)","Friend's sub ID (Spot)","Commission Asset","Commission Earned","Commission Earned (USDT)","Commission Time","Registration Time","Referral ID","Convert date","Convert ratio","Distributed commission","Convert Asset","note"
"spot","164927115","","USDT","0.00380199","0.00380200","2025-01-03 10:02:11","2021-05-20 14:15:08","FGCT8YB0","","1 USDT≈1.00000000 USDT","0.0038019900000000","USDT",""
"spot","164927115","","USDT","0.00319455","0.00319500","2024-12-18 00:22:55","2021-05-20 14:15:08","FGCT8YB0","","1 USDT≈1.00000000 USDT","0.0031945500000000","USDT",""
"spot","164927115","","USDT","0.00482897","0.00482900","2024-12-18 00:22:28","2021-05-20 14:15:08","FGCT8YB0","","1 USDT≈1.00000000 USDT","0.0048289700000000","USDT",""
"spot","164927115","","USDT","0.00475447","0.00475400","2024-12-16 11:31:56","2021-05-20 14:15:08","FGCT8YB0","","1 USDT≈1.00000000 USDT","0.0047544700000000","USDT",""
"spot","164927115","","USDT","0.11670756","0.11670800","2024-12-12 02:38:29","2021-05-20 14:15:08","FGCT8YB0","","1 USDT≈1.00000000 USDT","0.1167075600000000","USDT",""
"spot","164927115","","USDT","0.53668440","0.53668400","2024-12-12 02:38:29","2021-05-20 14:15:08","FGCT8YB0","","1 USDT≈1.00000000 USDT","0.5366844000000000","USDT",""
"spot","164927115","","USDT","0.00204452","0.00204500","2024-12-12 02:38:29","2021-05-20 14:15:08","FGCT8YB0","","1 USDT≈1.00000000 USDT","0.0020445200000000","USDT",""
"spot","164927115","","USDT","0.00975403","0.00975400","2024-12-12 02:38:29","2021-05-20 14:15:08","FGCT8YB0","","1 USDT≈1.00000000 USDT","0.0097540300000000","USDT",""
"spot","164927115","","USDT","0.05017574","0.05017600","2024-12-12 02:38:29","2021-05-20 14:15:08","FGCT8YB0","","1 USDT≈1.00000000 USDT","0.0501757400000000","USDT",""
"spot","164927115","","USDT","0.00438719","0.00438700","2024-12-12 02:38:29","2021-05-20 14:15:08","FGCT8YB0","","1 USDT≈1.00000000 USDT","0.0043871900000000","USDT",""
"spot","164927115","","USDT","0.06082424","0.06082400","2024-12-12 02:38:29","2021-05-20 14:15:08","FGCT8YB0","","1 USDT≈1.00000000 USDT","0.0608242400000000","USDT",""
"spot","164927115","","USDT","0.12530969","0.12531000","2024-12-12 02:37:26","2021-05-20 14:15:08","FGCT8YB0","","1 USDT≈1.00000000 USDT","0.1253096900000000","USDT",""
"spot","164927115","","USDT","0.17632863","0.17632900","2024-12-12 02:37:26","2021-05-20 14:15:08","FGCT8YB0","","1 USDT≈1.00000000 USDT","0.1763286300000000","USDT",""
